"LengthRowID","CatchRowID","FishID1","FishID2","ForkLength","Volume","Sex","ReproductiveStage","X2ndStage","AdFinPresent","VIE","ReleasedAlive","LengthRace","CWTRace","CWTNumber"
1,1,NA,NA,125,NA,NA,NA,NA,FALSE,FALSE,FALSE,"Winter",NA,NA
2,2,NA,NA,83,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
3,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
4,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
5,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
6,2,NA,NA,69,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
7,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
8,2,NA,NA,85,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
9,2,NA,NA,89,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
10,2,NA,NA,88,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
11,2,NA,NA,59,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
12,2,NA,NA,128,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
13,2,NA,NA,90,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
14,2,NA,NA,81,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
15,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
16,2,NA,NA,70,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
17,2,NA,NA,62,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
18,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
19,2,NA,NA,77,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
20,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
21,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
22,2,NA,NA,69,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
23,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
24,2,NA,NA,82,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
25,2,NA,NA,67,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
26,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
27,2,NA,NA,88,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
28,2,NA,NA,70,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
29,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
30,2,NA,NA,65,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
31,2,NA,NA,56,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
32,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
33,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
34,2,NA,NA,74,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
35,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
36,2,NA,NA,95,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
37,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
38,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
39,2,NA,NA,71,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
40,2,NA,NA,64,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
41,2,NA,NA,63,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
42,2,NA,NA,102,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
43,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
44,2,NA,NA,98,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
45,2,NA,NA,74,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
46,2,NA,NA,100,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
47,2,NA,NA,79,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
48,2,NA,NA,71,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
49,2,NA,NA,72,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
50,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
51,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
52,3,NA,NA,75,NA,1,4,NA,FALSE,FALSE,FALSE,NA,NA,NA
53,3,NA,NA,68,NA,1,4,NA,FALSE,FALSE,FALSE,NA,NA,NA
54,3,NA,NA,67,NA,1,4,NA,FALSE,FALSE,FALSE,NA,NA,NA
55,3,NA,NA,66,NA,1,4,NA,FALSE,FALSE,FALSE,NA,NA,NA
56,3,NA,NA,65,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
57,3,NA,NA,64,NA,1,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
58,3,NA,NA,66,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
59,3,NA,NA,63,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
60,3,NA,NA,64,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
61,3,NA,NA,61,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
62,4,NA,NA,187,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
63,6,NA,NA,161,NA,NA,NA,NA,FALSE,FALSE,FALSE,"Winter",NA,NA
64,7,NA,NA,62,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
65,8,NA,NA,280,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
67,9,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
68,9,NA,NA,77,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
69,9,NA,NA,85,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
70,9,NA,NA,96,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
71,9,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
72,9,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
73,9,NA,NA,74,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
74,9,NA,NA,66,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
75,9,NA,NA,70,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
76,9,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
77,10,NA,NA,85,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA
78,11,NA,NA,68,NA,2,3,NA,FALSE,FALSE,FALSE,NA,NA,NA
