Region,Station
Confluence and West,340
Confluence and West,405
Confluence and West,411
Confluence and West,418
Confluence and West,501
Confluence and West,504
Confluence and West,508
Confluence and West,513
Confluence and West,519
Confluence and West,520
Confluence and West,602
Confluence and West,606
Confluence and West,609
Confluence and West,610
Confluence and West,801
Sacramento River System,704
Sacramento River System,706
Sacramento River System,707
Sacramento River System,711
Sacramento River System,712
Sacramento River System,713
Sacramento River System,715
Sacramento River System,716
Sacramento River System,724
San Joaquin River System,804
San Joaquin River System,809
San Joaquin River System,812
San Joaquin River System,815
San Joaquin River System,902
San Joaquin River System,906
San Joaquin River System,910
San Joaquin River System,912
San Joaquin River System,914
San Joaquin River System,915
San Joaquin River System,919
San Joaquin River System,920
San Joaquin River System,921
San Joaquin River System,922
San Joaquin River System,923
