"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field","NBAView","AdFinPresent","ReleasedAlive","FieldRace","FinalRace"
"California Skate","Raja","inornata","Rajidae",NA,NA,NA,60,"CALSKATE",FALSE,FALSE,FALSE,FALSE,FALSE
"Black Bullhead","Ameiurus","melas","Ictaluridae",18,"BLB",NA,68,"BLKBULHD",TRUE,FALSE,FALSE,FALSE,FALSE
"California Tonguefish","Symphurus","atricauda","Cynoglossidae",76,"CTF",NA,77,"CATONGUE",FALSE,FALSE,FALSE,FALSE,FALSE
"Pacific Halibut","Hippoglossus","stenolepis","Pleuronectidea",NA,NA,NA,79,"PHALIBUT",FALSE,FALSE,FALSE,FALSE,FALSE
"Red Shiner","Notropis","lutrensis","Cyprinidae",72,"RSH",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Fathead Minnow","Pimephales","promelas","Cyprinidae",73,"FHM",NA,1006,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Shokihaze Goby","Tridentiger","barbatus","Gobiidae",74,"SHO",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Tridentiger spp.","Tridentiger",NA,"gobiidae",75,"TRI",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Blue Catfish","Ictalurus","furcatus","Ictaluridae",7105,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Unid Flounder",NA,NA,NA,3127,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Penpoint Gunnel","Apodichthys","flavidus","Pholidae",2826,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Saddleback Gunnel","Pholis","ornata","Pholidae",2829,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Monkeyface Prickleback","Cebidichthys","violaceus","Stichaeidae",2775,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Prickleback spp.",NA,NA,"Stichaeidae",2813,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Brown Rockfish","Sebastes","auriculatus","Sebastidae",96,"BRF",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"Spotted Bass","Micropterus","punctulatus","Centrarchidae",77,"SPB",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Bluefin Killifish",NA,NA,NA,116,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Rockfish (unid)",NA,NA,NA,100,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Longfin Smelt","Spirinchus","thaleichthys","Osmeridae",2,"LFS","LGFNSMLT",25,"LNGFSMLT",TRUE,FALSE,FALSE,FALSE,FALSE
"Delta Smelt","Hypomesus","transpacificus","Osmeridae",3,"DS","DLTASMLT",24,"DLTASMLT",TRUE,FALSE,FALSE,FALSE,FALSE
"Wakasagi","Hypomesus","nipponensis","Osmeridae",67,"WK","WAKASAGI",93,"WAKASAGI",TRUE,FALSE,FALSE,FALSE,FALSE
"American Shad","Alosa","sapidissima","Clupeidae",5,"AS","AMERSHAD",19,"AMERSHAD",TRUE,FALSE,FALSE,FALSE,FALSE
"Threadfin Shad","Dorosoma","petenense","Clupeidae",6,"TFS","THREADFN",20,"TFINSHAD",TRUE,FALSE,FALSE,FALSE,FALSE
"Pacific Herring","Clupea","pallasi","Clupeidae",52,"PH","PHERRING",16,"PHERRING",FALSE,FALSE,FALSE,FALSE,FALSE
"White Catfish","Ameiurus","catus","Ictaluridae",8,"WCF","WHTCATFS",5,"WHITECAT",TRUE,FALSE,FALSE,FALSE,FALSE
"Channel Catfish","Ictalurus","punctatus","Ictaluridae",9,"CCF","CHANLCAT",4,"CHANLCAT",TRUE,FALSE,FALSE,FALSE,FALSE
"Brown Bullhead","Ameiurus","nebulosus","Ictaluridae",54,"BRB","BRNBULLH",69,"BRNBULHD",TRUE,FALSE,FALSE,FALSE,FALSE
"Yellowfin Goby","Acanthogobius","flavimanus","Gobiidae",10,"YFG","YELFGOBY",42,"YELFGOBY",TRUE,FALSE,FALSE,FALSE,FALSE
"Tidewater Goby","Eucyclogobius","newberryi","Gobiidae",12,"TWG","TIDEGOBY",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
"Arrow Goby","Clevelandia","ios","Gobiidae",13,"AG","AROWGOBY",76,"AROWGOBY",FALSE,FALSE,FALSE,FALSE,FALSE
"Chameleon Goby","Tridentiger","trigonocephalus","Gobiidae",58,"CG","CAMLGOBY",92,"CAMLGOBY",TRUE,FALSE,FALSE,FALSE,FALSE
