"Survey","Date","Station","TopTemp","TopEC","BottomEC","Secchi","FNU","StartLat","StartLong","Comments"
1,2009-01-05,902,7.40000009536743,858,777,92,NA,NA,NA,NA
1,2009-01-05,906,8,469,478,129,NA,NA,NA,NA
1,2009-01-05,910,8.19999980926514,548,587,77,NA,NA,NA,NA
1,2009-01-05,912,8.19999980926514,997,991,63,NA,NA,NA,NA
1,2009-01-05,914,7.80000019073486,604,601,157,NA,NA,NA,NA
1,2009-01-05,915,7.5,803,801,140,NA,NA,NA,NA
1,2009-01-05,918,7.59999990463257,787,758,154,NA,NA,NA,NA
1,2009-01-05,919,7.69999980926514,263,265,194,NA,NA,NA,NA
1,2009-01-06,703,9.19999980926514,1966,7230,70,NA,NA,NA,NA
1,2009-01-06,704,9.30000019073486,3604,8030,40,NA,NA,NA,NA
1,2009-01-06,705,8,548,640,50,NA,NA,NA,NA
1,2009-01-06,706,9.10000038146973,2080,5250,58,NA,NA,NA,NA
1,2009-01-06,707,8.10000038146973,1109,1085,35,NA,NA,NA,NA
1,2009-01-06,711,7.90000009536743,246,263,59,NA,NA,NA,NA
1,2009-01-06,716,8.10000038146973,239,232,77,NA,NA,NA,NA
1,2009-01-06,723,8,242,242,68,NA,NA,NA,NA
1,2009-01-06,812,7.69999980926514,800,800,52,NA,NA,NA,NA
1,2009-01-06,815,7.69999980926514,496,500,94,NA,NA,NA,NA
1,2009-01-07,501,8.5,19580,21440,48,NA,NA,NA,NA
1,2009-01-07,508,8.19999980926514,12470,18050,43,NA,NA,NA,NA
1,2009-01-07,513,8,8020,13790,59,NA,NA,NA,NA
1,2009-01-07,519,8.30000019073486,16220,15890,40,NA,NA,NA,NA
1,2009-01-07,801,7.90000009536743,6730,8760,50,NA,NA,NA,NA
1,2009-01-07,804,7.59999990463257,3946,4695,70,NA,NA,NA,NA
1,2009-01-08,405,9.60000038146973,28040,33970,75,NA,NA,NA,NA
1,2009-01-08,411,9.60000038146973,28280,33300,80,NA,NA,NA,NA
1,2009-01-08,418,9.5,28850,34480,90,NA,NA,NA,NA
1,2009-01-08,504,9.19999980926514,21600,26830,67,NA,NA,NA,NA
1,2009-01-08,520,8.5,11160,15360,67,NA,NA,NA,NA
1,2009-01-08,602,8.89999961853027,24120,23780,49,NA,NA,NA,NA
1,2009-01-08,606,8.60000038146973,15750,16460,50,NA,NA,NA,NA
1,2009-01-08,609,8.39999961853027,12580,12580,50,NA,NA,NA,NA
1,2009-01-08,610,8.10000038146973,9900,10100,55,NA,NA,NA,NA
2,2009-01-20,809,8.69999980926514,1540,1625,90,NA,NA,NA,NA
