year,june,july,juneMeanOne,juneMeanTwo,juneMeanThird,julyMeanOne,julyMeanTwo,julyMeanThird
1995,2,3,21,,79,22,36,80
1996,3,3,18,29,75,24,37,76
1997,3,2,23,37,77,,39,77
1998,3,2,18,28,52,,31,50
1999,3,3,17,28,72,21,40,72
2000,3,3,18,35,76,27,41,77
2001,2,,,27,68,,,
2002,3,,21,40,72,,,
2003,3,3,79,36,75,23,43,75
2004,3,3,24,40,69,31,45,69
2005,3,3,25,41,76,15,39,70
2006,3,3,20,32,67,26,44,75
2007,2,3,,31,79,30,46,79
2008,3,3,30,46,80,33,50,81
2009,2,2,,27,77,,32,77
2010,3,3,21,37,68,22,42,68
2011,3,3,21,42,69,23,40,69
2012,2,2,21,,67,,36,68
2013,2,2,,28,77,,39,77
2014,2,,,33,71,,,
2015,1,,8,,,,,
2016,2,,13,,,,,
2017,2,,,31,,,,
