Date,Survey,TowNum,Taxa,Length_NA_flag,Length,LengthFrequency,TotalCatch ,TotalMeasured,ExpandedLengthsCount,checkSumCount
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,6,1,55,50,1.1,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,9,1,55,50,1.1,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,10,1,55,50,1.1,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,11,3,55,50,3.3,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,12,3,55,50,3.3,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,13,2,55,50,2.2,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,14,3,55,50,3.3,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,15,4,55,50,4.4,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,16,7,55,50,7.7,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,17,5,55,50,5.5,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,18,4,55,50,4.4,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,19,2,55,50,2.2,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,20,1,55,50,1.1,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,21,1,55,50,1.1,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,22,5,55,50,5.5,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,23,2,55,50,2.2,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,24,2,55,50,2.2,55
5/19/2006,5,3,Hypomesus transpacificus,Subsampling issue,25,3,55,50,3.3,55
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,15,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,16,7,67,50,9.38,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,17,3,67,50,4.02,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,18,7,67,50,9.38,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,19,7,67,50,9.38,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,20,8,67,50,10.72,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,21,5,67,50,6.7,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,22,3,67,50,4.02,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,24,3,67,50,4.02,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,25,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,26,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,28,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,30,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,31,1,67,50,1.34,67
6/3/2006,6,2,Hypomesus transpacificus,Subsampling issue,33,1,67,50,1.34,67
