Survey	Date	Station	Temp	TopEC	BottomEC	Secchi	Turbidity	Lat	Long	Comments
1	1/5/2009	902	7.4	858	777	92	NA	NA	NA	NA
1	1/5/2009	906	8	469	478	129	NA	NA	NA	NA
1	1/5/2009	910	8.2	548	587	77	NA	NA	NA	NA
1	1/5/2009	912	8.2	997	991	63	NA	NA	NA	NA
1	1/5/2009	914	7.8	604	601	157	NA	NA	NA	NA
1	1/5/2009	915	7.5	803	801	140	NA	NA	NA	NA
1	1/5/2009	918	7.6	787	758	154	NA	NA	NA	NA
1	1/5/2009	919	7.7	263	265	194	NA	NA	NA	NA
1	1/6/2009	703	9.2	1966	7230	70	NA	NA	NA	NA
1	1/6/2009	704	9.3	3604	8030	40	NA	NA	NA	NA
1	1/6/2009	705	8	548	640	50	NA	NA	NA	NA
1	1/6/2009	706	9.1	2080	5250	58	NA	NA	NA	NA
1	1/6/2009	707	8.1	1109	1085	35	NA	NA	NA	NA
1	1/6/2009	711	7.9	246	263	59	NA	NA	NA	NA
1	1/6/2009	716	8.1	239	232	77	NA	NA	NA	NA
1	1/6/2009	723	8	242	242	68	NA	NA	NA	NA
1	1/6/2009	812	7.7	800	800	52	NA	NA	NA	NA
1	1/6/2009	815	7.7	496	500	94	NA	NA	NA	NA
1	1/7/2009	501	8.5	19580	21440	48	NA	NA	NA	NA
1	1/7/2009	508	8.2	12470	18050	43	NA	NA	NA	NA
1	1/7/2009	513	8	8020	13790	59	NA	NA	NA	NA
1	1/7/2009	519	8.3	16220	15890	40	NA	NA	NA	NA
1	1/7/2009	801	7.9	6730	8760	50	NA	NA	NA	NA
1	1/7/2009	804	7.6	3946	4695	70	NA	NA	NA	NA
1	1/8/2009	405	9.6	28040	33970	75	NA	NA	NA	NA
1	1/8/2009	411	9.6	28280	33300	80	NA	NA	NA	NA
1	1/8/2009	418	9.5	28850	34480	90	NA	NA	NA	NA
1	1/8/2009	504	9.2	21600	26830	67	NA	NA	NA	NA
1	1/8/2009	520	8.5	11160	15360	67	NA	NA	NA	NA
1	1/8/2009	602	8.9	24120	23780	49	NA	NA	NA	NA
1	1/8/2009	606	8.6	15750	16460	50	NA	NA	NA	NA
1	1/8/2009	609	8.4	12580	12580	50	NA	NA	NA	NA
1	1/8/2009	610	8.1	9900	10100	55	NA	NA	NA	NA
2	1/20/2009	809	8.7	1540	1625	90	NA	NA	NA	NA
2	1/20/2009	901	8.9	1004	1030	111	NA	NA	NA	NA
2	1/20/2009	902	8.7	850	854	137	NA	NA	NA	NA
2	1/20/2009	906	9.3	490	524	199	NA	NA	NA	NA
2	1/20/2009	910	9.6	539	568	200	NA	NA	NA	NA
2	1/20/2009	912	9.4	1040	1023	200	NA	NA	NA	NA
2	1/20/2009	914	9.3	603	598	198	NA	NA	NA	NA
2	1/20/2009	915	9.1	764	767	121	NA	NA	NA	NA
2	1/20/2009	918	9.1	727	730	123	NA	NA	NA	NA
2	1/20/2009	919	9.7	305	304	160	NA	NA	NA	NA
2	1/21/2009	703	9.7	6540	7860	87	NA	NA	NA	NA
2	1/21/2009	704	9.5	9970	11660	70	NA	NA	NA	NA
2	1/21/2009	705	9	902	998	113	NA	NA	NA	NA
2	1/21/2009	706	9.3	1850	5620	90	NA	NA	NA	NA
2	1/21/2009	707	9.6	1455	3284	110	NA	NA	NA	NA
2	1/21/2009	711	9.7	262	267	200	NA	NA	NA	NA
2	1/21/2009	716	9.9	282	297	119	NA	NA	NA	NA
2	1/21/2009	723	10.3	234	231	200	NA	NA	NA	NA
2	1/21/2009	812	8.7	906	885	155	NA	NA	NA	NA
2	1/21/2009	815	9.1	513	589	200	NA	NA	NA	NA
2	1/22/2009	501	9.9	20810	22830	83	NA	NA	NA	NA
2	1/22/2009	504	9.8	19570	24090	95	NA	NA	NA	NA
2	1/22/2009	508	9.4	10000	18140	90	NA	NA	NA	NA
2	1/22/2009	513	9.3	8090	13530	102	NA	NA	NA	NA
2	1/22/2009	519	9.6	13700	19640	90	NA	NA	NA	NA
2	1/22/2009	520	9.6	13320	15570	90	NA	NA	NA	NA
